date,region,product,category,units_sold,unit_price,discount,revenue
2025-01-05,North,Widget A,Electronics,120,29.99,0.00,3598.80
2025-01-12,South,Widget B,Electronics,85,49.99,0.10,3824.24
2025-01-18,East,Gadget X,Accessories,200,9.99,0.00,1998.00
2025-01-25,West,Widget A,Electronics,95,29.99,0.05,2707.10
2025-02-03,North,Gadget Y,Accessories,310,14.99,0.00,4646.90
2025-02-10,South,Widget C,Electronics,60,79.99,0.15,4079.49
2025-02-17,East,Widget A,Electronics,140,29.99,0.00,4198.60
2025-02-22,West,Gadget X,Accessories,175,9.99,0.10,1573.43
2025-03-01,North,Widget B,Electronics,110,49.99,0.05,5224.95
2025-03-08,South,Gadget Z,Accessories,420,4.99,0.00,2095.80
2025-03-15,East,Widget C,Electronics,45,79.99,0.20,2879.64
2025-03-22,West,Widget A,Electronics,130,29.99,0.00,3898.70
2025-04-02,North,Gadget X,Accessories,260,9.99,0.00,2597.40
2025-04-10,South,Widget B,Electronics,70,49.99,0.10,3149.37
2025-04-18,East,Gadget Y,Accessories,185,14.99,0.05,2634.49
2025-04-25,West,Widget C,Electronics,55,79.99,0.00,4399.45
2025-05-05,North,Widget A,Electronics,150,29.99,0.00,4498.50
2025-05-12,South,Gadget Z,Accessories,380,4.99,0.00,1896.20
2025-05-20,East,Widget B,Electronics,90,49.99,0.05,4274.15
2025-05-28,West,Gadget X,Accessories,220,9.99,0.10,1977.82
2025-06-03,North,Widget C,Electronics,75,79.99,0.15,5099.36
2025-06-11,South,Widget A,Electronics,105,29.99,0.00,3148.95
2025-06-19,East,Gadget Y,Accessories,290,14.99,0.00,4347.10
2025-06-26,West,Widget B,Electronics,65,49.99,0.10,2924.42
2025-07-04,North,Gadget Z,Accessories,450,4.99,0.00,2245.50
2025-07-12,South,Widget C,Electronics,40,79.99,0.20,2559.68
2025-07-19,East,Widget A,Electronics,160,29.99,0.05,4558.48
2025-07-27,West,Gadget X,Accessories,195,9.99,0.00,1948.05
2025-08-04,North,Widget B,Electronics,125,49.99,0.00,6248.75
2025-08-11,South,Gadget Y,Accessories,340,14.99,0.10,4586.94
2025-08-18,East,Widget A,Electronics,100,29.99,0.00,2999.00
2025-08-25,West,Widget C,Electronics,50,79.99,0.05,3799.53
2025-09-02,North,Gadget X,Accessories,230,9.99,0.00,2297.70
2025-09-10,South,Widget B,Electronics,80,49.99,0.10,3599.28
2025-09-17,East,Gadget Z,Accessories,370,4.99,0.00,1846.30
2025-09-24,West,Widget A,Electronics,115,29.99,0.00,3448.85
2025-10-03,North,Widget C,Electronics,65,79.99,0.00,5199.35
2025-10-11,South,Gadget Y,Accessories,275,14.99,0.05,3912.64
2025-10-18,East,Widget B,Electronics,95,49.99,0.00,4749.05
2025-10-26,West,Gadget X,Accessories,210,9.99,0.10,1888.11
2025-11-03,North,Widget A,Electronics,170,29.99,0.05,4843.39
2025-11-10,South,Widget C,Electronics,55,79.99,0.15,3739.53
2025-11-18,East,Gadget Z,Accessories,400,4.99,0.00,1996.00
2025-11-25,West,Widget B,Electronics,75,49.99,0.00,3749.25
2025-12-02,North,Gadget Y,Accessories,320,14.99,0.00,4796.80
2025-12-10,South,Widget A,Electronics,135,29.99,0.10,3643.79
2025-12-17,East,Widget C,Electronics,60,79.99,0.00,4799.40
2025-12-24,West,Gadget X,Accessories,250,9.99,0.05,2372.63
