date,city,temp_max,temp_min,precipitation_mm,conditions
2024-10-01,北京,22,12,0,晴
2024-10-01,上海,26,18,0,多云
2024-10-01,广州,32,24,0,晴
2024-10-02,北京,20,10,0,晴
2024-10-02,上海,24,17,2,小雨
2024-10-02,广州,31,23,0,多云
2024-10-03,北京,18,8,0,多云
2024-10-03,上海,22,16,5,中雨
2024-10-03,广州,30,22,0,晴
2024-10-04,北京,16,6,0,晴
2024-10-04,上海,20,15,0,阴
2024-10-04,广州,29,21,8,雷阵雨
2024-10-05,北京,19,9,0,晴
2024-10-05,上海,23,16,0,多云
2024-10-05,广州,28,20,0,多云
2024-10-06,北京,21,11,0,晴
2024-10-06,上海,25,18,0,晴
2024-10-06,广州,30,22,0,晴
2024-10-07,北京,17,7,0,多云
2024-10-07,上海,21,14,1,小雨
2024-10-07,广州,31,23,0,晴
2024-10-08,北京,15,5,0,晴
2024-10-08,上海,19,13,0,阴
2024-10-08,广州,29,21,0,多云
2024-10-09,北京,18,8,0,晴
2024-10-09,上海,22,15,0,多云
2024-10-09,广州,30,22,3,小雨
2024-10-10,北京,20,10,0,晴
2024-10-10,上海,24,17,0,晴
2024-10-10,广州,32,24,0,晴
