date,category,amount_cny,account,note
2024-10-01,餐饮,85.50,支付宝,午餐
2024-10-01,交通,12.00,微信,地铁
2024-10-02,购物,299.00,支付宝,日用品
2024-10-02,餐饮,42.00,微信,早餐
2024-10-03,娱乐,89.00,支付宝,电影
2024-10-03,餐饮,128.00,银行卡,聚餐
2024-10-04,住房,3200.00,银行卡,房租
2024-10-05,交通,35.00,支付宝,打车
2024-10-05,学习,199.00,支付宝,在线课程
2024-10-06,餐饮,56.00,微信,外卖
2024-10-06,医疗,120.00,支付宝,药店
2024-10-07,餐饮,38.00,微信,早餐
2024-10-07,交通,24.00,支付宝,公交
2024-10-08,购物,599.00,支付宝,电子产品
2024-10-09,餐饮,95.00,微信,午餐
2024-10-09,娱乐,0.00,支付宝,积分兑换
2024-10-10,住房,180.00,支付宝,水电
2024-10-11,餐饮,72.00,支付宝,晚餐
2024-10-12,交通,15.00,微信,共享单车
2024-10-12,学习,0.00,无,图书馆
2024-10-13,餐饮,168.00,银行卡,家庭聚餐
2024-10-14,购物,89.00,支付宝,零食
2024-10-15,餐饮,45.00,微信,午餐
2024-10-15,通讯,98.00,支付宝,话费
2024-10-16,餐饮,52.00,支付宝,外卖
2024-10-17,娱乐,220.00,支付宝,演出票
2024-10-18,交通,8.00,微信,地铁
2024-10-18,餐饮,68.00,微信,晚餐
2024-10-19,住房,0.00,无,无
2024-10-20,餐饮,110.00,支付宝,周末聚餐
