sku,warehouse,quantity,last_restock_date,safety_stock
SKU-A01,北京仓,320,2024-09-15,200
SKU-A02,北京仓,85,2024-10-01,100
SKU-A03,上海仓,450,2024-09-28,300
SKU-B01,北京仓,42,2024-08-20,50
SKU-B02,上海仓,180,2024-10-05,150
SKU-B03,广州仓,95,2024-09-10,80
SKU-C01,上海仓,28,2024-07-15,60
SKU-C02,广州仓,210,2024-10-08,100
SKU-C03,北京仓,55,2024-09-22,80
SKU-D01,广州仓,12,2024-06-01,30
SKU-D02,北京仓,168,2024-10-01,120
SKU-D03,上海仓,76,2024-09-18,50
SKU-E01,北京仓,330,2024-10-10,200
SKU-E02,广州仓,45,2024-08-05,80
SKU-E03,上海仓,0,2024-05-20,40
